"","da","pa","qa","pg","qg","RMSE","AIC"
"1",0,0,1,0,1,1.76269253603766,2.4604354355799
"2",0,0,1,0,2,1.76065241690039,2.46023772917551
"3",0,0,1,0,3,1.76067976428816,2.46039546573487
"4",0,0,1,1,0,2.27762405455205,1.26550761287349
"5",0,0,1,1,1,2.19675047712052,1.14557406197076
"6",0,0,1,1,2,2.19678960264845,1.14576701659314
"7",0,0,1,1,3,2.19676768801258,1.14586658177397
"8",0,0,1,2,0,2.13157779367259,1.04486978620888
"9",0,0,1,2,1,2.13129970995471,1.04501995026347
"10",0,0,1,2,2,2.13184223936167,1.04495338170499
"11",0,0,1,2,3,2.13194062315157,1.0451855300395
"12",0,0,1,3,0,2.13141153574695,1.04509449174696
"13",0,0,1,3,1,2.13135248250701,1.04524830167172
"14",0,0,1,3,2,2.13194023326429,1.04518553190433
"15",0,0,1,3,3,2.1319429783927,1.04534379965119
"16",0,0,2,0,1,0.993552073218874,1.34442148117891
"17",0,0,2,0,2,0.993529559611574,1.34458024676523
"18",0,0,2,0,3,0.993531911591632,1.34473747819792
"19",0,0,2,1,0,1.3144641064814,0.522643694757457
"20",0,0,2,1,1,1.28226629978911,0.295048209233837
"21",0,0,2,1,2,1.28226658006998,0.295206474698771
"22",0,0,2,1,3,1.28243608567195,0.295423211344782
"23",0,0,2,2,0,1.21366375241659,0.255040115351704
"24",0,0,2,2,1,1.21780866534302,0.240336767773736
"25",0,0,2,2,2,1.21803638539833,0.240492757595416
"26",0,0,2,2,3,1.21671779850478,0.219441623373527
"27",0,0,2,3,0,1.28364304709958,0.242545366527275
"28",0,0,2,3,1,1.21999425196786,0.241480234364243
"29",0,0,2,3,2,1.22035573773499,0.241631166421133
"30",0,0,2,3,3,1.21671790137205,0.219599889699331
"31",0,0,3,0,1,0.629739111180552,0.517839651532496
"32",0,0,3,0,2,0.62972679026697,0.517998154203882
"33",0,0,3,0,3,0.629739355927138,0.518156714508848
"34",0,0,3,1,0,0.889540726448301,-0.0390536631307243
"35",0,0,3,1,1,0.822130288140257,-0.348455680408589
"36",0,0,3,1,2,0.82212853790908,-0.34829741498919
"37",0,0,3,1,3,0.822128481614223,-0.348139149822884
"38",0,0,3,2,0,0.814414166372673,-0.302711189361302
"39",0,0,3,2,1,0.81350344244826,-0.372908736607313
"40",0,0,3,2,2,0.813502794118714,-0.372750469835071
