"","d","p","q","RMSE","AIC"
"1",0,0,0,3.45644107702939,47947.5380580574
"2",0,0,1,1.76045158212327,31055.4657825782
"3",0,0,2,0.988619879470225,16820.5643086495
"4",0,0,3,0.62177636533205,6222.09211348556
"5",0,0,4,0.45058031789935,-1611.34598581856
"6",0,0,5,0.351933971041028,-7264.25373869727
"7",0,0,6,0.281309518143869,-11541.0482850123
"8",0,0,7,0.247185816261355,-15039.2099019558
"9",0,1,0,0.089665739629963,-35379.3014806835
"10",0,1,1,0.0897569759329746,-35418.0345815061
"11",0,1,2,0.0899103402362743,-35421.2396769373
"12",0,1,3,0.0899801126224204,-35402.0858983076
"13",0,1,4,0.0899161270504829,-35418.6146424945
"14",0,1,5,0.0903865439235226,-35395.1930573341
"15",0,1,6,0.0901804640026055,-35357.9069118038
"16",0,1,7,0.0900534429384021,-35422.3988476666
"17",0,2,1,0.0897712206867748,-35421.7247981551
"18",0,2,2,0.0898698858236101,-35406.289271306
"19",0,2,5,0.0906992890553711,-35366.5082666946
"20",0,2,6,0.0898932904024409,-35357.4425144497
"21",0,2,7,0.0899203942020288,-35422.9569792154
"22",0,3,0,0.0899186481617311,-35428.6240385037
"23",0,3,1,0.0897673317814098,-35411.9848217344
"24",0,3,3,0.0899332558940218,-35421.0035657583
"25",0,3,6,0.0900331665230849,-35419.7775543743
"26",0,4,0,0.0897783394383437,-35421.5975368933
"27",0,4,1,0.0897880487318342,-35419.6892228326
"28",0,4,2,0.0898181088070457,-35417.279508596
"29",0,4,4,0.0900888199988072,-35421.000463237
"30",0,4,6,0.0896841141000162,-35421.3571158086
"31",0,4,7,0.0899874464601041,-35410.1054272604
"32",0,5,0,0.0897926771965493,-35419.7157322175
"33",0,5,1,0.0898432873259479,-35418.4792724869
"34",0,5,2,0.0898425779501874,-35416.1599907391
"35",0,5,5,0.0902451300773431,-35415.692427022
"36",0,6,0,0.0898044941833683,-35423.9907665244
"37",0,6,1,0.0898331423102278,-35416.4014751715
"38",0,6,2,0.0899035070094459,-35415.5056484064
"39",0,6,3,0.0899840720901674,-35414.5105209483
