"","p","q","RMSE","AIC"
"1",0,1,0.0898760461308956,-6.06874665590669
"2",0,2,0.0898404855131574,-6.06904979357336
"3",0,3,0.0898370910781818,-6.06901067942773
"4",0,4,0.0898883855751776,-6.06880304488055
"5",0,5,0.0898821640549354,-6.06872135428903
"6",1,0,0.0898285964444003,-6.10355573015449
"7",1,1,0.0898690157899059,-6.25394309423864
"8",1,2,0.0898590432167212,-6.25378435947698
"9",1,3,0.089860755023264,-6.25380634783161
"10",1,4,0.0898597438758411,-6.2536850547044
"11",1,5,0.0898590123282698,-6.25366234990633
"12",2,0,0.0898200446954882,-6.1338199626699
"13",2,1,0.0898619231211454,-6.25378218400178
"14",2,2,0.0898615041276867,-6.25362395559735
"15",2,3,0.0898644451110468,-6.2543473203313
"16",2,4,0.0898633217098353,-6.25418053855283
"17",2,5,0.0898577228737361,-6.25406395907413
"18",3,0,0.0898082181996642,-6.15792733974131
"19",3,1,0.0898612409220373,-6.25361917896468
"20",3,2,0.0898603878613876,-6.25346101457256
"21",3,3,0.0898715118451572,-6.25454290156719
"22",3,4,0.0898715833013101,-6.25437838587122
"23",3,5,0.0898577695770248,-6.2539057494972
"24",4,1,0.0898616225041962,-6.25343708499129
"25",4,2,0.0898598776949873,-6.25359906525433
"26",4,3,0.0898712536437449,-6.25437846684172
"27",4,4,0.0898714267991013,-6.2542203063532
"28",4,5,0.0898699415021102,-6.25406897491156
"29",5,0,0.0898308003461476,-6.1905641905008
"30",5,1,0.08986134447573,-6.25328563608114
"31",5,2,0.089860461517244,-6.25342711717335
"32",5,3,0.0898716381863911,-6.2542190438584
"33",5,4,0.0898716555417375,-6.25406074356662
"34",5,5,0.0898697574044956,-6.25391079863904
