Date,XUDLUSS,XUDLNKD,XUDLSFS,XUDLJYD,XUDLSKD,XUDLDKD,XUDLCDD,XUDLNDD,XUDLZRD,XUDLHDD,XUDLSGD,XUDLERD
1975-01-02,2.3359,5.2295,5.9273,300.75,4.1045,5.657,1.0079,0.7631,0.6885,,,0.7633
1975-01-03,2.3414,5.1855,5.9413,300.65,4.07,5.6575,1.0085,0.7651,0.6869,,,0.7585
1975-01-06,2.3518,5.152,5.9559,300.85,4.02,5.645,1.0086,0.7634,0.6884,,,0.7524
1975-01-07,2.3552,5.1287,5.9469,300.65,4.0325,5.635,1.0062,0.7613,0.6857,,,0.751
1975-01-08,2.3485,5.1685,6.0157,300.7,4.0585,5.6395,1.0069,0.7605,0.6901,,,0.7554
1975-01-09,2.3496,5.1625,6.0326,300.77,4.057,5.63,1.0039,0.7624,0.6898,,,0.7551
1975-01-10,2.3524,5.14,6.0221,300.82,4.0575,5.6175,1.0062,0.7619,0.689,,,0.7534
1975-01-13,2.354,5.129,6.0215,300.82,4.052,5.6165,1.0022,0.7559,0.6871,,,0.754
1975-01-14,2.3469,5.1687,6.0456,300.9,4.0809,5.667,1.0032,0.7613,0.6906,,,0.7588
1975-01-15,2.3507,5.163,6.0366,300.77,4.094,5.693,1.0046,0.7625,0.6894,,,0.7562
1975-01-16,2.3535,5.14,6.0332,300.75,4.071,5.666,1.0065,0.761,0.6879,,,0.7546
1975-01-17,2.3535,5.1305,6.0261,300.87,4.0665,5.6675,1.0082,0.7613,0.6894,,,0.7537
1975-01-20,2.3563,5.1185,5.932,300.9,4.0525,5.665,1.0091,0.7613,0.6893,,,0.7503
1975-01-21,2.3635,5.0915,5.9584,300.72,4.042,5.618,1.0075,0.7596,0.6901,,,0.7487
1975-01-22,2.3906,5.0485,5.9586,300.07,4.04,5.5535,1.0077,0.759,0.6837,,,0.7416
1975-01-23,2.381,5.0465,5.9573,299.27,4.019,5.5575,1.0061,0.7561,0.6893,,,0.7404
1975-01-24,2.3832,5.006,5.8746,295.0,3.996,5.5385,1.0052,0.7564,0.6798,,,0.7384
1975-01-27,2.3992,4.956,5.8545,295.55,3.9465,5.485,1.0044,0.7564,0.6784,,,0.7324
1975-01-28,2.3827,4.99,5.8762,297.35,3.9655,5.5055,1.0038,0.7509,0.6852,,,0.7357
1975-01-29,2.3708,5.0725,5.9151,297.27,3.9445,5.5762,1.0038,0.7536,0.6786,,,0.7429
1975-01-30,2.3753,5.0455,5.9173,297.82,4.0025,5.5525,1.002,0.7536,0.6809,,,0.7418
1975-01-31,2.381,5.0475,5.9394,297.85,4.0024,5.57,1.0007,0.7553,0.68,,,0.7423
1975-02-03,2.3747,5.04,6.0021,297.45,4.0105,5.5775,1.0003,0.7553,0.6854,,,0.745
1975-02-04,2.3691,5.097,6.0417,297.02,4.065,5.6537,1.0012,0.7553,0.6791,,,0.7518
1975-02-05,2.3697,5.092,6.019,297.17,4.0642,5.6475,1.0015,0.7553,0.6797,,,0.7513
1975-02-06,2.368,5.0825,5.9958,296.4,4.045,5.6295,1.0006,0.7553,0.6794,,,0.7495
1975-02-07,2.3736,5.071,5.9791,295.3,4.027,5.621,1.0,0.7564,0.6793,,,0.7477
1975-02-10,2.3855,5.0565,5.9709,292.22,3.995,5.5525,0.9985,0.7564,0.6787,,,0.7441
1975-02-11,2.3827,5.0415,5.9627,291.5,4.004,5.5695,0.9955,0.7513,0.6802,,,0.7438
1975-02-12,2.3889,5.025,5.9723,292.4,4.0025,5.5675,0.9987,0.7513,0.6778,,,0.7427
1975-02-13,2.3901,5.0015,5.9095,294.7,3.985,5.5425,0.9979,0.7513,0.6796,,,0.7383
1975-02-14,2.3906,5.0,5.9017,293.02,3.9705,5.55,0.9981,0.7508,0.6808,,,0.7382
1975-02-17,2.3929,4.9925,5.8973,292.94,3.966,5.5175,0.9976,0.7508,0.6802,,,0.7361
1975-02-18,2.3935,5.0005,5.9143,293.22,3.968,5.5175,0.9966,0.7505,0.6801,,,0.7366
1975-02-19,2.3975,4.999,5.9446,291.6,3.977,5.5275,0.9979,0.7502,0.6796,,,0.7375
1975-02-20,2.401,4.9745,5.8825,291.22,3.9425,5.5125,0.998,0.7491,0.6786,,,0.7336
1975-02-21,2.4027,4.965,5.877,289.4,3.9485,5.4975,0.9996,0.7479,0.675,,,0.7331
1975-02-24,2.4225,4.94,5.8794,285.6,3.9187,5.465,0.9998,0.7471,0.6736,,,0.7282
1975-02-25,2.4166,4.937,5.8651,286.25,3.9255,5.44,1.0028,0.7435,0.6752,,,0.7304
1975-02-26,2.4242,4.909,5.8411,285.5,3.9125,5.42,1.0047,0.7435,0.6714,,,0.7256
1975-02-27,2.4278,4.9,5.8219,285.85,3.9,5.3764,1.0021,0.7432,0.6718,,,0.7225
1975-02-28,2.429,4.8975,5.8357,286.35,3.8875,5.4125,1.0021,0.7416,0.6715,,,0.7222
1975-03-03,2.4325,4.867,5.8356,285.3,3.8615,5.387,1.0015,0.7413,0.6705,,,0.7214
1975-03-04,2.4295,4.895,5.9328,284.5,3.888,5.4165,1.0024,0.7413,0.6713,,,0.7253
1975-03-05,2.4337,4.877,5.9273,285.05,3.8945,5.4175,1.0025,0.7418,0.6688,,,0.7246
1975-03-06,2.4278,4.8845,5.9335,285.72,3.888,5.42,1.0016,0.7407,0.6718,,,0.7276
1975-03-07,2.4079,4.945,5.968,286.25,3.9425,5.475,1.0008,0.7424,0.6759,,,0.7345
1975-03-10,2.4062,4.9505,5.9541,286.15,3.9385,5.5025,0.9997,0.7454,0.6694,,,0.7341
1975-03-11,2.4219,4.897,5.9736,286.1,3.9125,5.4175,0.9974,0.746,0.6686,,,0.7289
1975-03-12,2.4102,4.935,5.9992,287.42,3.9425,5.45,0.9997,0.746,0.6739,,,0.7338
1975-03-13,2.4155,4.9245,6.0073,288.8,3.942,5.4505,0.9992,0.7468,0.6703,,,0.7329
1975-03-14,2.4178,4.9025,6.0119,287.95,3.9325,5.4375,1.0001,0.7454,0.6704,,,0.7309
1975-03-17,2.419,4.922,6.0177,286.3,3.931,5.4155,0.9997,0.7449,0.6715,,,0.7306
1975-03-18,2.4254,4.898,5.9883,286.9,3.9095,5.4145,0.9998,0.7446,0.6697,,,0.7278
1975-03-19,2.429,4.895,5.9778,288.2,3.899,5.388,1.001,0.7432,0.6708,,,0.7259
1975-03-20,2.4242,4.8925,6.0023,287.1,3.9085,5.3402,0.9997,0.7435,0.67,,,0.7284
1975-03-21,2.4207,4.901,6.0288,287.25,3.92,5.4285,0.9999,0.7435,0.671,,,0.7307
1975-03-24,2.4172,4.902,6.0551,287.85,3.927,5.4185,0.9997,0.7435,0.6706,,,0.7327
1975-03-25,2.4155,4.908,6.0569,289.92,3.926,5.4328,0.9984,0.7463,0.6696,,,0.7336
1975-03-26,2.4125,4.9102,6.0807,290.32,3.934,5.44,0.9985,0.7463,0.6705,,,0.7353
1975-03-27,2.4027,4.925,6.0969,292.1,3.9475,5.4477,0.997,0.7474,0.6732,,,0.7374
1975-04-01,2.4079,4.946,6.0648,290.87,3.93,5.4595,0.9975,0.7491,0.6697,,,0.7351
1975-04-02,2.4079,4.9115,6.0968,291.4,3.9235,5.4415,0.9981,0.7485,0.6717,,,0.7349
1975-04-03,2.4021,4.92,6.0977,292.1,3.9415,5.46,0.9967,0.7485,0.6734,,,0.7375
1975-04-04,2.3906,4.94,6.1235,292.22,3.968,5.4675,0.9961,0.7485,0.6822,,,0.7432
1975-04-07,2.3798,4.96,6.0673,291.72,3.967,5.4685,0.9951,0.7524,0.6811,,,0.7428
1975-04-08,2.3815,4.9535,6.0645,291.75,3.9685,5.4935,0.9924,0.7539,0.6791,,,0.7405
1975-04-09,2.3781,4.9475,6.0749,291.67,3.9615,5.5117,0.9942,0.7527,0.6815,,,0.7409
1975-04-10,2.3629,4.9805,6.0809,291.72,3.9955,5.435,0.9932,0.7536,0.6823,,,0.7457
1975-04-11,2.3657,4.9825,6.0787,290.9,3.9855,5.5625,0.9921,0.7559,0.6794,,,0.7449
1975-04-14,2.3568,5.047,6.0787,291.12,4.0095,5.5425,0.9907,0.7547,0.6805,,,0.7471
1975-04-15,2.3657,5.001,6.0763,290.97,3.9885,5.58,0.9891,0.7561,0.6779,,,0.7444
1975-04-16,2.3663,5.004,6.07,291.25,3.982,5.5525,0.9894,0.7556,0.6785,,,0.7436
1975-04-17,2.3674,5.0015,6.083,291.52,3.9825,5.5575,0.9852,0.7559,0.6796,,,0.7433
1975-04-18,2.3747,5.003,6.0959,291.7,3.983,5.5485,0.9834,0.7539,0.6775,,,0.743
1975-04-21,2.3624,5.0135,6.0655,292.67,3.9885,5.5475,0.9857,0.7536,0.6803,,,0.7441
1975-04-22,2.354,5.013,6.0298,292.62,3.9787,5.5362,0.9863,0.7559,0.6798,,,0.7427
1975-04-23,2.3702,4.996,6.0286,292.72,3.952,5.5235,0.9842,0.7567,0.6759,,,0.7379
1975-04-24,2.3596,5.0012,6.0111,292.76,3.9555,5.5135,0.9849,0.7533,0.6804,,,0.7388
1975-04-25,2.3524,5.0205,6.0398,293.75,3.979,5.516,0.9835,0.7533,0.6796,,,0.7418
1975-04-28,2.3458,5.0375,6.0193,294.42,3.9905,5.525,0.9813,0.7573,0.6794,,,0.7435
1975-04-29,2.354,5.0262,6.0262,293.7,3.9715,5.5345,0.9824,0.7584,0.6791,,,0.7406
1975-04-30,2.3524,5.0125,6.0139,292.1,3.9635,5.4705,0.9815,0.7564,0.6811,,,0.7394
1975-05-01,2.3491,5.015,6.002,292.07,3.9612,5.47,0.9795,0.757,0.6813,,,0.7391
1975-05-02,2.3392,5.0187,5.9919,290.35,3.98,5.5125,0.9786,0.757,0.6842,,,0.7405
1975-05-05,2.3408,5.013,5.966,290.67,3.9607,5.5325,0.9735,0.7584,0.6793,,,0.7378
1975-05-06,2.3392,4.99,5.9509,291.12,3.9607,5.515,0.9739,0.757,0.6805,,,0.7371
1975-05-07,2.3392,4.9635,5.9193,291.1,3.945,5.5115,0.9747,0.7579,0.6805,,,0.7346
1975-05-08,2.3397,4.935,5.8656,291.37,3.925,5.51,0.9757,0.7576,0.6811,,,0.7309
1975-05-09,2.3202,4.9375,5.8214,291.35,3.9275,5.48,0.9723,0.7564,0.6832,,,0.7327
1975-05-12,2.302,4.9415,5.7746,291.25,3.9315,5.4855,0.9663,0.7605,0.6797,,,0.7331
1975-05-13,2.3079,4.89,5.7021,291.27,3.912,5.473,0.9665,0.7619,0.6802,,,0.727
1975-05-14,2.3057,4.8895,5.7101,291.62,3.9072,5.424,0.9683,0.7605,0.6808,,,0.7287
1975-05-15,2.302,4.949,5.7826,291.57,3.9485,5.43,0.9672,0.7605,0.7239,,,0.7343
1975-05-16,2.3026,4.95,5.8026,291.47,3.945,5.462,0.9676,0.7605,0.681,,,0.733
1975-05-19,2.3031,4.93,5.7969,291.87,3.9245,5.465,0.9678,0.7622,0.6801,,,0.731
1975-05-20,2.3036,4.9407,5.7906,292.12,3.9315,5.445,0.9705,0.7613,0.6807,,,0.7312
1975-05-21,2.3143,4.9275,5.7765,292.12,3.9175,5.446,0.9742,0.7616,0.679,,,0.7272
1975-05-22,2.3283,4.9175,5.7637,291.65,3.905,5.4155,0.9699,0.7593,0.6772,,,0.7254
1975-05-23,2.3272,4.9255,5.7801,290.87,3.9145,5.408,0.9731,0.7573,0.6797,,,0.7259
1975-05-27,2.3267,4.926,5.7597,291.05,3.9087,5.4125,0.972,0.7576,0.6798,,,0.7255
1975-05-28,2.3256,4.9175,5.7547,290.55,3.9065,5.4115,0.9732,0.7634,0.6801,,,0.7251
1975-05-29,2.3164,4.9275,5.7655,290.35,3.9185,5.412,0.9735,0.7634,0.6814,,,0.7274
1975-05-30,2.317,4.9312,5.7902,291.4,3.9275,5.4155,0.9765,0.7596,0.6783,,,0.7295
1975-06-02,2.3186,4.9375,5.8011,291.35,3.928,5.4537,0.9761,0.7596,0.6793,,,0.7292
1975-06-03,2.3213,4.9035,5.7638,290.9,3.908,5.4562,0.9732,0.7596,0.6814,,,0.7264
1975-06-04,2.3186,4.907,5.7907,291.25,3.9145,5.4375,0.9728,0.7584,0.6822,,,0.7277
1975-06-05,2.3223,4.898,5.786,292.15,3.9125,5.4325,0.9743,0.7593,0.6789,,,0.7275
1975-06-06,2.3218,4.9,5.8045,291.75,3.914,5.425,0.9754,0.7584,0.6812,,,0.7283
1975-06-09,2.3175,4.915,5.8162,291.8,3.929,5.4275,0.974,0.7599,0.6803,,,0.7293
1975-06-10,2.31,4.9075,5.7785,291.85,3.9185,5.45,0.9749,0.7599,0.6818,,,0.7281
1975-06-11,2.2868,4.888,5.7033,291.9,3.907,5.4405,0.9769,0.7613,0.685,,,0.7265
1975-06-12,2.2789,4.869,5.6658,292.32,3.898,5.4325,0.9748,0.7651,0.6806,,,0.726
1975-06-13,2.2868,4.8775,5.6918,292.57,3.9085,5.399,0.9757,0.7639,0.6846,,,0.7269
1975-06-16,2.2784,4.88,5.6611,294.17,3.902,5.4125,0.9746,0.7639,0.6799,,,0.7258
1975-06-17,2.2717,4.8685,5.6309,293.3,3.9,5.3975,0.9748,0.7639,0.679,,,0.7252
1975-06-18,2.2732,4.881,5.6632,294.05,3.909,5.4125,0.9761,0.7654,0.6866,,,0.7271
1975-06-19,2.2732,4.8907,5.6641,294.05,3.9105,5.422,0.9744,0.7657,0.6808,,,0.7278
1975-06-20,2.2717,4.8915,5.6531,293.95,3.905,5.4345,0.9745,0.766,0.6805,,,0.7274
1975-06-23,2.2712,4.9045,5.673,294.5,3.922,5.43,0.9737,0.766,0.6814,,,0.7291
1975-06-24,2.2558,4.9115,5.6354,295.35,3.9185,5.4475,0.9754,0.7669,0.6816,,,0.7294
1975-06-25,2.2548,4.9035,5.6228,297.1,3.9172,5.4515,0.9739,0.7695,0.6796,,,0.7289
1975-06-26,2.2457,4.9087,5.6012,295.82,3.9197,5.4485,0.9731,0.7698,0.6809,,,0.7298
1975-06-27,2.2247,4.9225,5.5595,296.07,3.9265,5.456,0.9703,0.771,0.7168,,,0.7319
1975-06-30,2.1844,4.9395,5.4647,295.47,3.934,5.462,0.9701,0.7749,0.7145,,,0.7341
1975-07-01,2.2109,4.957,5.5509,295.7,3.9475,5.4717,0.9714,0.7686,0.7059,,,0.7366
1975-07-02,2.1997,5.0135,5.5692,295.37,3.9825,5.5165,0.9705,0.7761,0.713,,,0.7429
1975-07-03,2.1959,5.0395,5.5721,295.47,3.994,5.5535,0.9716,0.7785,0.7148,,,0.744
1975-07-04,2.1939,5.0345,5.5773,295.75,4.0,5.5827,0.9723,0.7785,0.7155,,,0.7449
1975-07-07,2.1839,5.0535,5.5864,295.5,4.0145,5.5875,0.9696,0.7797,0.7146,,,0.7486
1975-07-08,2.1964,5.034,5.5991,295.75,4.0052,5.6025,0.9681,0.7809,0.7112,,,0.7467
1975-07-09,2.2075,5.028,5.63,295.85,4.0025,5.5815,0.9701,0.78,0.7142,,,0.7459
1975-07-10,2.2017,5.069,5.6474,296.15,4.0355,5.568,0.9715,0.7785,0.713,,,0.7511
1975-07-11,2.2007,5.095,5.6723,296.07,4.0607,5.5875,0.9704,0.7797,0.7165,,,0.7551
1975-07-14,2.1906,5.1295,5.6682,295.7,4.084,5.63,0.9713,0.78,0.7141,,,0.7582
1975-07-15,2.1887,5.137,5.6534,295.72,4.0887,5.631,0.9719,0.7809,0.7161,,,0.7583
1975-07-16,2.1829,5.2215,5.693,296.0,4.1325,5.6462,0.9698,0.7838,0.7117,,,0.7647
1975-07-17,2.1825,5.2265,5.7225,296.22,4.1575,5.702,0.9719,0.7838,0.7143,,,0.7677
1975-07-18,2.1763,5.2435,5.7411,296.12,4.1675,5.7335,0.9702,0.7846,0.7139,,,0.7711
1975-07-21,2.1739,5.2795,5.7532,296.17,4.187,5.75,0.9699,0.7859,0.7138,,,0.775
1975-07-22,2.1801,5.2675,5.762,296.32,4.1835,5.7715,0.9698,0.7862,0.7167,,,0.774
1975-07-23,2.1786,5.3225,5.8386,296.77,4.227,5.769,0.9691,0.7871,0.7131,,,0.7818
1975-07-24,2.1796,5.323,5.8283,296.75,4.238,5.8275,0.9684,0.7868,0.7144,,,0.7821
1975-07-25,2.1796,5.338,5.8065,296.75,4.2167,5.8575,0.9687,0.7877,0.7136,,,0.7803
1975-07-28,2.1758,5.3315,5.8446,297.62,4.2585,5.8335,0.9688,0.7874,0.7149,,,0.7857
1975-07-29,2.1749,5.3865,5.852,297.22,4.2687,5.8585,0.9686,0.7886,0.7135,,,0.7881
1975-07-30,2.1626,5.399,5.8433,297.35,4.3,5.9035,0.9711,0.7886,0.7168,,,0.7906
1975-07-31,2.1515,5.4285,5.8004,297.55,4.295,5.9401,0.969,0.7915,0.7138,,,0.7913
1975-08-01,2.1496,5.434,5.799,297.82,4.2915,5.962,0.9696,0.7918,0.7119,,,0.7914
1975-08-04,2.1413,5.4465,5.7595,297.9,4.2945,5.965,0.9694,0.7933,0.713,,,0.791
1975-08-05,2.1409,5.404,5.7087,297.97,4.267,5.959,0.9695,0.7938,0.714,,,0.7871
1975-08-06,2.1286,5.4235,5.6966,297.92,4.2875,5.8962,0.9687,0.7943,0.7164,,,0.7901
1975-08-07,2.1035,5.4665,5.67,297.87,4.321,5.9187,0.966,0.7943,0.7191,,,0.7949
1975-08-08,2.103,5.4625,5.6533,297.65,4.3095,5.975,0.9659,0.8013,0.7133,,,0.7939
1975-08-11,2.1022,5.481,5.6549,297.77,4.3185,5.962,0.964,0.943,0.7119,,,0.7954
1975-08-12,2.1039,5.476,5.6557,297.92,4.302,5.953,0.9647,0.9434,0.7155,,,0.7955
1975-08-13,2.1079,5.475,5.6481,297.92,4.313,5.9662,0.9644,0.9434,0.7133,,,0.7946
1975-08-14,2.1079,5.4595,5.6176,297.92,4.3052,5.964,0.9634,0.9421,0.715,,,0.7933
1975-08-15,2.1084,5.452,5.6231,297.93,4.3052,5.9575,0.9623,0.9421,0.7149,,,0.7927
1975-08-18,2.1079,5.46,5.6144,298.1,4.2982,5.955,0.9616,0.9421,0.7133,,,0.7915
1975-08-19,2.1173,5.436,5.6299,298.07,4.2832,5.9525,0.9633,0.9416,0.7127,,,0.7882
1975-08-20,2.1191,5.4385,5.6697,297.87,4.29,5.9282,0.9645,0.9394,0.7163,,,0.7897
1975-08-21,2.1115,5.4515,5.6451,297.97,4.306,5.9315,0.9637,0.9398,0.7138,,,0.7899
1975-08-22,2.1061,5.459,5.6328,297.52,4.3092,5.9465,0.9665,0.9407,0.7156,,,0.7908
1975-08-26,2.1093,5.5755,5.6502,298.02,4.3415,5.935,0.9659,0.9425,0.7112,,,0.7931
1975-08-27,2.1097,5.4905,5.6449,297.88,4.357,5.9725,0.9667,0.9412,0.7136,,,0.7934
1975-08-28,2.1097,5.5005,5.6555,297.94,4.361,5.9745,0.9677,0.9412,0.7144,,,0.7939
1975-08-29,2.1101,5.5325,5.6656,297.97,4.3665,5.9735,0.9689,0.9416,0.7143,,,0.7948
1975-09-01,2.107,5.5387,5.6609,297.95,4.376,5.9775,0.9691,0.9416,0.7153,,,0.7963
1975-09-02,2.1088,5.534,5.6604,297.82,4.3742,5.9887,0.9696,0.9434,0.7122,,,0.7957
1975-09-03,2.1119,5.5002,5.6424,297.7,4.358,5.99,0.9708,0.9416,0.7145,,,0.7936
1975-09-04,2.1079,5.5277,5.6502,297.87,4.3715,5.9762,0.9702,0.9416,0.7159,,,0.7955
1975-09-05,2.1088,5.5237,5.6558,297.9,4.373,5.98,0.9719,0.9425,0.7156,,,0.796
1975-09-08,2.1101,5.5245,5.6601,297.96,4.3722,5.9787,0.9732,0.9416,0.7143,,,0.7959
1975-09-09,2.1128,5.5145,5.6623,297.97,4.367,5.9825,0.9745,0.9412,0.7142,,,0.7952
1975-09-10,2.1101,5.54,5.6688,297.95,4.381,5.9667,0.9733,0.9416,0.7143,,,0.7973
1975-09-11,2.1101,5.5425,5.6783,298.02,4.3895,5.9925,0.9716,0.9416,0.7143,,,0.7981
1975-09-12,2.107,5.554,5.6777,298.0,4.3995,6.0055,0.9739,0.9421,0.7145,,,0.7994
1975-09-15,2.1039,5.5705,5.6725,298.07,4.413,6.0125,0.9739,0.943,0.7138,,,0.8004
1975-09-16,2.089,5.5985,5.6675,298.07,4.4522,6.0245,0.9752,0.9427,0.7189,,,0.8054
1975-09-17,2.0812,5.6237,5.6619,298.25,4.487,6.0525,0.9755,0.9427,0.7156,,,0.8094
1975-09-18,2.079,5.636,5.6549,300.07,4.4875,6.0875,0.9769,0.9488,0.7155,,,0.8114
1975-09-19,2.0799,5.622,5.6552,301.32,4.491,6.1055,0.976,0.9501,0.6979,,,0.8131
1975-09-22,2.0721,5.6975,5.6552,302.7,4.513,6.1175,0.9765,0.9507,0.8729,,,0.8191
1975-09-23,2.0442,5.7317,5.5888,303.22,4.5567,6.1745,0.9783,0.9547,0.8668,,,0.8245
1975-09-24,2.0429,5.695,5.5734,303.02,4.522,6.2085,0.9773,0.9588,0.8705,,,0.8215
1975-09-25,2.0479,5.6735,5.5816,302.65,4.5075,6.2072,0.9757,0.9597,0.8705,,,0.8174
1975-09-26,2.045,5.6565,5.6084,301.8,4.5112,6.1812,0.9762,0.9588,0.8696,,,0.8202
1975-09-29,2.0358,5.715,5.6074,303.0,4.528,6.1735,0.9754,0.9592,0.8748,,,0.8233
1975-09-30,2.0429,5.692,5.6061,302.7,4.5008,6.2395,0.9759,0.9606,0.8684,,,0.8168
1975-10-01,2.0392,5.637,5.5334,302.45,4.459,6.1985,0.9755,0.9597,0.8657,,,0.809
1975-10-02,2.0392,5.6135,5.5083,302.45,4.4525,6.1452,0.9756,0.9588,0.8657,,,0.8086
1975-10-03,2.0371,5.651,5.5403,302.85,4.481,6.115,0.9761,0.9588,0.8731,,,0.8137
1975-10-06,2.0429,5.6112,5.5363,303.0,4.4512,6.1442,0.9751,0.9597,0.8478,,,0.809
1975-10-07,2.0421,5.575,5.4994,302.95,4.4182,6.1055,0.9744,0.9588,0.8687,,,0.8052
1975-10-08,2.0429,5.6032,5.5173,303.07,4.438,6.0705,0.9743,0.9588,0.8694,,,0.8074
1975-10-09,2.0479,5.584,5.5082,302.97,4.417,6.0825,0.9743,0.9583,0.8683,,,0.8053
1975-10-10,2.058,5.528,5.4856,302.95,4.3845,6.075,0.9757,0.9569,0.8662,,,0.7989
1975-10-13,2.0602,5.486,5.4719,302.85,4.3545,6.0275,0.9722,0.9569,0.8695,,,0.7955
1975-10-14,2.0471,5.545,5.4944,302.6,4.416,5.996,0.9738,0.9528,0.8736,,,0.8033
1975-10-15,2.0559,5.521,5.4841,302.67,4.373,6.036,0.9709,0.956,0.8641,,,0.7971
1975-10-16,2.0559,5.4732,5.4348,302.75,4.3677,6.0111,0.9717,0.9542,0.8681,,,0.7943
1975-10-17,2.0559,5.4987,5.4481,302.8,4.3755,5.9762,0.9718,0.9542,0.8679,,,0.7958
1975-10-20,2.0602,5.4682,5.4538,302.45,4.3655,5.975,0.9721,0.9542,0.8674,,,0.7959
1975-10-21,2.061,5.46,5.4379,300.9,4.363,5.9475,0.9721,0.9533,0.8681,,,0.7947
1975-10-22,2.0751,5.4455,5.4465,301.5,4.3422,5.9685,0.9741,0.9521,0.8622,,,0.7916
1975-10-23,2.0678,5.459,5.4464,301.82,4.357,5.9325,0.9771,0.9497,0.8747,,,0.7929
1975-10-24,2.0691,5.4575,5.4438,301.65,4.3555,5.9515,0.9787,0.952,0.8689,,,0.793
1975-10-27,2.0678,5.4555,5.4476,301.37,4.3545,5.945,0.9787,0.9519,0.8695,,,0.7945
1975-10-28,2.067,5.4875,5.461,301.55,4.367,5.966,0.9804,0.951,0.8698,,,0.7954
1975-10-29,2.0678,5.494,5.4563,301.52,4.368,5.9875,0.9814,0.9515,0.8715,,,0.7954
1975-10-30,2.0738,5.464,5.4406,301.62,4.3372,5.9915,0.9786,0.9515,0.869,,,0.7915
1975-10-31,2.0781,5.458,5.455,301.7,4.3445,5.9587,0.9828,0.9497,0.8672,,,0.7914
1975-11-03,2.0738,5.457,5.4379,301.62,4.3385,5.97,0.9836,0.9479,0.869,,,0.7911
1975-11-04,2.07,5.47,5.4493,302.08,4.35,5.96,0.9851,0.9479,0.8706,,,0.7929
1975-11-05,2.064,5.4962,5.4521,301.75,4.3685,5.9612,0.9843,0.9501,0.87,,,0.7958
1975-11-06,2.0691,5.483,5.4401,301.67,4.3607,5.9962,0.9833,0.9517,0.8679,,,0.7935
1975-11-07,2.0631,5.484,5.426,301.85,4.3545,5.9912,0.9841,0.951,0.8704,,,0.7938
1975-11-10,2.0661,5.485,5.4477,302.2,4.362,5.9737,0.9848,0.9515,0.8691,,,0.7942
1975-11-11,2.0631,5.4955,5.4429,302.35,4.3755,5.9825,0.9859,0.9515,0.8714,,,0.7955
1975-11-12,2.064,5.4855,5.4452,301.92,4.3645,5.9925,0.9869,0.9479,0.869,,,0.7948
1975-11-13,2.058,5.505,5.4376,302.15,4.3805,5.9937,0.9881,0.9515,0.8715,,,0.7965
1975-11-14,2.0442,5.5225,5.4294,302.5,4.3985,5.9975,0.9849,0.9547,0.8688,,,0.8009
1975-11-17,2.0342,5.5645,5.45,302.75,4.426,6.0337,0.9846,0.9569,0.8732,,,0.8071
1975-11-18,2.0371,5.5585,5.4313,302.95,4.4155,6.0725,0.9877,0.9569,0.8698,,,0.806
1975-11-19,2.0408,5.548,5.4279,302.95,4.4175,6.08,0.9881,0.9592,0.8682,,,0.8043
1975-11-20,2.0458,5.5285,5.4214,302.92,4.3875,6.068,0.9868,0.9579,0.8682,,,0.8008
1975-11-21,2.0408,5.534,5.4126,303.0,4.404,6.0425,0.9873,0.9565,0.8714,,,0.8042
1975-11-24,2.0392,5.5315,5.4361,302.9,4.3912,6.0475,0.9887,0.9579,0.8699,,,0.8046
1975-11-25,2.0379,5.514,5.4198,303.0,4.3885,6.0512,0.9875,0.9588,0.8705,,,0.8038
